barrio_codigo,anio,precio_eur_m2,n_subzonas
086,2016,2675.0,2
087,2001,2681.0,1
087,2002,3268.0,1
087,2003,3633.0,1
087,2004,3986.0,1
087,2005,4016.0,1
087,2006,4239.0,1
087,2007,4364.0,1
087,2008,4302.0,1
087,2009,4189.0,1
087,2010,4065.0,1
087,2011,3773.0,1
087,2012,3214.0,1
087,2013,3102.0,1
087,2014,3078.0,1
087,2015,3268.0,1
087,2016,3401.0,1
088,2007,4092.0,1
088,2008,4180.0,1
088,2009,4248.0,1
088,2010,4298.0,1
088,2011,4108.0,1
088,2012,3658.0,1
088,2013,3420.0,1
088,2014,3477.0,1
088,2015,3540.0,1
088,2016,3679.0,1
091,2001,2559.0,1
091,2002,3100.0,1
091,2003,3461.0,1
091,2004,3622.0,1
091,2005,4499.0,1
091,2006,4408.0,1
091,2007,4403.0,1
091,2008,3721.0,1
091,2009,3587.0,1
091,2010,3397.0,1
091,2011,3198.0,1
091,2012,2962.0,1
091,2013,2821.0,1
091,2014,2658.0,1
091,2015,2729.0,1
091,2016,3012.0,1
092,2001,2849.0,1
092,2002,3640.0,1
092,2003,3889.0,1
092,2004,4362.0,1
092,2005,4468.0,1
092,2006,4826.0,1
092,2007,4889.0,1
092,2008,4683.0,1
092,2009,4610.0,1
092,2010,4344.0,1
092,2011,4178.0,1
092,2012,3767.0,1
092,2013,3430.0,1
092,2014,3307.0,1
092,2015,3433.0,1
092,2016,3944.0,1
093,2001,2403.0,1
093,2002,2687.0,1
093,2003,3529.0,1
093,2004,3881.0,1
093,2005,4075.0,1
093,2006,4543.0,1
093,2007,4675.0,1
093,2008,4391.0,1
093,2009,4216.0,1
093,2010,3866.0,1
093,2011,3703.0,1
093,2012,3254.0,1
093,2013,3168.0,1
093,2014,3045.0,1
093,2015,3022.0,1
093,2016,3055.0,1
094,2001,2313.0,1
094,2002,2808.0,1
094,2003,3206.0,1
094,2004,3307.0,1
094,2005,3822.0,1
094,2006,4071.0,1
094,2007,4227.0,1
094,2008,3655.0,1
094,2009,3507.0,1
094,2010,3253.0,1
094,2011,2785.0,1
094,2012,2477.0,1
094,2013,2481.0,1
094,2014,2166.0,1
094,2015,2256.0,1
094,2016,2367.0,1
095,2001,3106.0,1
095,2002,3524.0,1
095,2003,3799.0,1
095,2004,4177.0,1
095,2005,4412.0,1
095,2006,5056.0,1
095,2007,5254.0,1
095,2008,5154.0,1
095,2009,5240.0,1
095,2010,5165.0,1
095,2011,4802.0,1
095,2012,4098.0,1
095,2013,4101.0,1
095,2014,3865.0,1
095,2015,3995.0,1
